vol_method,episode_id,n_days,first_date,last_date,min_tau,max_tau,min_delta,max_delta,first_price,last_price,mean_sigma
rv_20d,SPY_recent_P_ATM,60,2025-10-01,2025-12-24,0.005479452054794521,0.2356164383561644,-0.67234650995696,-1.2044974118504802e-07,6.097734191696645,9.671521429433102e-08,0.12408009660674879
rv_20d,SPY_stress_C_ATM,62,2020-02-03,2020-04-30,0.0027397260273972603,0.2410958904109589,4.855938581258768e-09,0.769976584739933,7.574237218960178,4.414470174918537e-09,0.5069726576112166
rv_20d,SPY_stress_C_OTM,62,2020-02-03,2020-04-30,0.0027397260273972603,0.2410958904109589,0.0,0.4746858009458158,2.2698674496963065,4.327232858365545e-17,0.5069726576112166
rv_20d,SPY_stress_P_ATM,62,2020-02-03,2020-04-30,0.0027397260273972603,0.2410958904109589,-0.9999516909328685,-0.22655146924453412,7.64549135579594,33.533221522727956,0.5069726576112166
rv_60d,SPY_calm_C_ATM,63,2021-03-01,2021-05-27,0.0027397260273972603,0.2410958904109589,0.3084654369115597,0.9999640504435857,9.952501501149555,29.27498867975845,0.14868332428340764
rv_60d,SPY_calm_C_OTM,63,2021-03-01,2021-05-27,0.0027397260273972603,0.2410958904109589,0.12060867199554814,0.9998357288252572,3.633256313346479,10.275080178412054,0.14868332428340764
rv_60d,SPY_calm_P_ATM,63,2021-03-01,2021-05-27,0.0027397260273972603,0.2410958904109589,-0.688483459970801,0.0,11.576722840183152,2.1200959842627345e-27,0.14868332428340764
rv_60d,SPY_highvol_C_ATM,62,2022-04-01,2022-06-30,0.0027397260273972603,0.2493150684931507,0.0,0.5426829785861683,18.742603939438794,5.511565381741606e-34,0.25127925749083946
rv_60d,SPY_highvol_C_OTM,62,2022-04-01,2022-06-30,0.0027397260273972603,0.2493150684931507,0.0,0.35941633490102687,10.02631481583245,1.5684937983988232e-53,0.25127925749083946
rv_60d,SPY_highvol_P_ATM,62,2022-04-01,2022-06-30,0.0027397260273972603,0.2493150684931507,-0.9999612280406015,-0.45391083709391156,19.853473062608003,75.74476962236787,0.25127925749083946
rv_60d,SPY_recent_C_ATM,60,2025-10-01,2025-12-24,0.005479452054794521,0.2356164383561644,0.29564274555980313,0.9996865001469502,13.557497549754487,22.463151546468794,0.11306943551425777
rv_60d,SPY_recent_C_OTM,60,2025-10-01,2025-12-24,0.005479452054794521,0.2356164383561644,0.014243408917302218,0.345459894188624,2.3100805531447293,0.10873501193004387,0.11306943551425777
rv_60d,SPY_recent_P_ATM,60,2025-10-01,2025-12-24,0.005479452054794521,0.2356164383561644,-0.7031229305866897,-0.00024488630380995147,9.052445608900314,0.0004060167219368527,0.11306943551425777
rv_60d,SPY_stress_C_ATM,23,2020-03-30,2020-04-30,0.0027397260273972603,0.08767123287671233,0.0003336636194937032,0.16704040611154128,2.2582216599898643,0.0007900476808705148,0.5955649552396387
rv_60d,SPY_stress_C_OTM,23,2020-03-30,2020-04-30,0.0027397260273972603,0.08767123287671233,4.532380979069608e-07,0.09605919528372656,1.2156657221689784,7.925143276175256e-07,0.5955649552396387
rv_60d,SPY_stress_P_ATM,23,2020-03-30,2020-04-30,0.0027397260273972603,0.08767123287671233,-0.9996180321693133,-0.8321387395499179,65.00867389688418,33.534011565994376,0.5955649552396387
